semantic_key,count,statuses,classes,representative_test_path,representative_expect_path,expected_compact,actual_compact
uxm_tests_mega_corpus_example_01_game_score_combo,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0487__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_01_game_score_combo__a67334acd6.uxm,uxm\tests\all_expected_known\0487__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_01_game_score_combo__a67334acd6.expect,150300,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_example_03_game_inventory_vector_sum,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0489__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_03_game_inventory_vector_sum__b175c33a4f.uxm,uxm\tests\all_expected_known\0489__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_03_game_inventory_vector_sum__b175c33a4f.expect,21,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_example_11_tensor2d_sum,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0497__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_11_tensor2d_sum__aa75c49a1a.uxm,uxm\tests\all_expected_known\0497__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_11_tensor2d_sum__aa75c49a1a.expect,30,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_example_12_tensor3d_index,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0498__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_12_tensor3d_index__ef143e286c.uxm,uxm\tests\all_expected_known\0498__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_12_tensor3d_index__ef143e286c.expect,77,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_example_13_tensor4d_flat_logic,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0499__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_13_tensor4d_flat_logic__948afdf95a.uxm,uxm\tests\all_expected_known\0499__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_13_tensor4d_flat_logic__948afdf95a.expect,88,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_example_16_ml_linear_prediction,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0502__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_16_ml_linear_prediction__7b2de624f3.uxm,uxm\tests\all_expected_known\0502__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_16_ml_linear_prediction__7b2de624f3.expect,46,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_program_domain_02_chemistry_molar_mass_ch4o,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0513__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_program_domain_02_chemistry_molar_mass_ch4o__bea0c507a1.uxm,uxm\tests\all_expected_known\0513__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_program_domain_02_chemistry_molar_mass_ch4o__bea0c507a1.expect,1320,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_program_domain_03_physics_kinetic_energy_scaled,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0514__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_program_domain_03_physics_kinetic_energy_scaled__ee9a9bfc93.uxm,uxm\tests\all_expected_known\0514__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_program_domain_03_physics_kinetic_energy_scaled__ee9a9bfc93.expect,50,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_program_domain_04_accounting_vat_profit,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0515__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_program_domain_04_accounting_vat_profit__97929a1f4e.uxm,uxm\tests\all_expected_known\0515__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_program_domain_04_accounting_vat_profit__97929a1f4e.expect,180200,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_test_mega_cmd_dynamic_meta_addr,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0518__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_test_mega_cmd_dynamic_meta_addr__6a0e5ee1a9.uxm,uxm\tests\all_expected_known\0518__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_test_mega_cmd_dynamic_meta_addr__6a0e5ee1a9.expect,33,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
